OBJECTID,code,name,graphic0,graphic1,graphic2,graphic3
1,E09000001,City of London,747,11,161,261
2,E09000002,Barking and Dagenham,74,1,6,63
3,E09000003,Barnet,737,14,11,634
4,E09000004,Bexley,103,3,2,38
5,E09000005,Brent,382,9,24,249
6,E09000006,Bromley,202,2,2,109
7,E09000007,Camden,1214,74,35,1056
8,E09000008,Croydon,408,3,11,171
9,E09000009,Ealing,587,6,7,284
10,E09000010,Enfield,198,10,7,135
11,E09000011,Greenwich,262,7,1,126
12,E09000012,Hackney,347,3,6,265
13,E09000013,Hammersmith and Fulham,857,23,25,637
14,E09000014,Haringey,359,1,5,249
15,E09000015,Harrow,256,3,11,149
16,E09000016,Havering,158,2,6,43
17,E09000017,Hillingdon,280,1,15,110
18,E09000018,Hounslow,1028,5,17,195
19,E09000019,Islington,693,6,22,406
20,E09000020,Kensington and Chelsea,3400,126,151,3064
21,E09000021,Kingston upon Thames,258,1,6,116
22,E09000022,Lambeth,1180,11,21,426
23,E09000023,Lewisham,331,3,4,129
24,E09000024,Merton,296,10,6,151
25,E09000025,Newham,359,5,23,157
26,E09000026,Redbridge,182,3,27,68
27,E09000027,Richmond upon Thames,295,10,13,194
28,E09000028,Southwark,525,7,26,383
29,E09000029,Sutton,158,3,6,57
30,E09000030,Tower Hamlets,1109,20,35,728
31,E09000031,Waltham Forest,210,5,11,53
32,E09000032,Wandsworth,1136,22,19,716
33,E09000033,Westminster,7453,183,263,5238
